company,field,gap
台積電,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2330&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台積電,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2330&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台積電,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2330&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
日月光投控,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3711&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
日月光投控,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3711&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
日月光投控,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3711&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
力成科技,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6239&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
力成科技,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6239&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
力成科技,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6239&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
京元電,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2449&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
京元電,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2449&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
京元電,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2449&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
旺矽,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6223&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
旺矽,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6223&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
