subindustry,profitability_raw,growth_raw,growth_source_title,growth_source_url,growth_evidence_grade,investment_raw,operating_raw,sample_gpm,sample_capex,sample_operating,profitability_score,growth_score,investment_score,operating_score,x_score,y_score,overall_score
Backup & Energy Storage Subsystem,,,,,,,,0,0,0,,,,,,,
Compute Platform Subsystem,,,,,,,,0,0,0,,,,,,,
Compute Silicon Subsystem,,,,,,,,0,0,0,,,,,,,
Coolant Distribution Subsystem,,,,,,,,0,0,0,,,,,,,
Copper Interconnect Subsystem,,,,,,,,0,0,0,,,,,,,
Facility Heat Rejection Subsystem,,,,,,,,0,0,0,,,,,,,
Heat Capture Subsystem,,,,,,,,0,0,0,,,,,,,
High-Speed PCB Subsystem,,,,,,,,0,0,0,,,,,,,
Memory Subsystem,,,,,,,,0,0,0,,,,,,,
Network Interface Subsystem,,,,,,,,0,0,0,,,,,,,
Optical Interconnect Subsystem,,,,,,,,0,0,0,,,,,,,
Power Conversion Subsystem,,,,,,,,0,0,0,,,,,,,
Power Distribution Subsystem,,,,,,,,0,0,0,,,,,,,
Rack Mechanical Subsystem,,,,,,,,0,0,0,,,,,,,
Rack-level System Integration,,,,,,,,0,0,0,,,,,,,
Semiconductor Integration Subsystem,,,,,,,,0,0,0,,,,,,,
Switch Platform Subsystem,,,,,,,,0,0,0,,,,,,,
Switch Silicon Subsystem,,,,,,,,0,0,0,,,,,,,
