code,company,subindustries,year_roc,season,revenue,gross_profit,ar,inventory,ap,capex,gpm,capex_revenue,operating_demand,sources
2330,台積電,Memory Subsystem|Compute Silicon Subsystem|Semiconductor Integration Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2330&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2330&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2330&SYEAR=114&SSEASON=4&REPORT_ID=C
3711,日月光投控,Memory Subsystem|Semiconductor Integration Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3711&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3711&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3711&SYEAR=114&SSEASON=4&REPORT_ID=C
6239,力成科技,Memory Subsystem|Semiconductor Integration Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6239&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6239&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6239&SYEAR=114&SSEASON=4&REPORT_ID=C
2449,京元電,Semiconductor Integration Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2449&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2449&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2449&SYEAR=114&SSEASON=4&REPORT_ID=C
6223,旺矽,Compute Silicon Subsystem|Semiconductor Integration Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6223&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6223&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6223&SYEAR=114&SSEASON=4&REPORT_ID=C
6510,中華精測,Compute Silicon Subsystem|Semiconductor Integration Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6510&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6510&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6510&SYEAR=114&SSEASON=4&REPORT_ID=C
3583,辛耘,Memory Subsystem|Compute Silicon Subsystem|Semiconductor Integration Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3583&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3583&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3583&SYEAR=114&SSEASON=4&REPORT_ID=C
6187,萬潤,Memory Subsystem|Compute Silicon Subsystem|Semiconductor Integration Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6187&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6187&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6187&SYEAR=114&SSEASON=4&REPORT_ID=C
6488,環球晶,Compute Silicon Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6488&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6488&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6488&SYEAR=114&SSEASON=4&REPORT_ID=C
3680,家登,Compute Silicon Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3680&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3680&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3680&SYEAR=114&SSEASON=4&REPORT_ID=C
